Pair,λ1 %,λ2 %,ADF p-value
LDO–LINK,99.98,0.02,0.0
NEAR–ARB,99.66,0.34,2e-05
NEAR–OP,98.49,1.51,0.00079
NEAR–LINK,99.83,0.17,0.00311
AVAX–OP,99.98,0.02,0.01144
NEAR–LDO,96.04,3.96,0.01439
OP–LDO,97.02,2.98,0.0149
AVAX–LDO,99.93,0.07,0.01679
AVAX–NEAR,99.82,0.18,0.02357
ETH–AVAX,100.0,0.0,0.02637
OP–LINK,99.97,0.03,0.03389
AVAX–LINK,97.82,2.18,0.03777
ETH–OP,100.0,0.0,0.054
ARB–LDO,99.04,0.96,0.08367
SOL–OP,100.0,0.0,0.09323
SOL–AVAX,99.65,0.35,0.13847
SOL–LDO,100.0,0.0,0.14126
BTC–OP,100.0,0.0,0.15451
AVAX–AAVE,98.82,1.18,0.17932
OP–AAVE,100.0,0.0,0.17946
BTC–ARB,100.0,0.0,0.17968
SOL–ARB,100.0,0.0,0.1953
SOL–AAVE,67.76,32.24,0.19849
ARB–AAVE,100.0,0.0,0.19978
ARB–LINK,99.99,0.01,0.21145
SOL–LINK,99.77,0.23,0.22265
AVAX–ARB,99.99,0.01,0.22889
LINK–AAVE,99.15,0.85,0.23077
BTC–LINK,100.0,0.0,0.25621
OP–ARB,97.23,2.77,0.25768
NEAR–AAVE,99.99,0.01,0.2735
ETH–ARB,100.0,0.0,0.28288
BTC–NEAR,100.0,0.0,0.2874
BTC–AVAX,100.0,0.0,0.28864
BTC–LDO,100.0,0.0,0.28896
LDO–AAVE,99.99,0.01,0.29457
SOL–NEAR,99.99,0.01,0.29514
ETH–AAVE,99.79,0.21,0.32299
ETH–BTC,93.0,7.0,0.3595
SOL–BTC,99.99,0.01,0.42558
ETH–LINK,100.0,0.0,0.4412
ETH–NEAR,100.0,0.0,0.46265
SOL–ETH,99.97,0.03,0.49542
ETH–LDO,100.0,0.0,0.55909
BTC–AAVE,99.98,0.02,0.75229
