Pair,λ1 %,λ2 %,ADF p-value
ARB–AAVE,100.0,0.0,0.0
NEAR–ARB,99.65,0.35,1e-05
SOL–AAVE,96.41,3.59,6e-05
SOL–LINK,99.52,0.48,0.00012
SOL–LDO,100.0,0.0,0.00021
SOL–ARB,100.0,0.0,0.00109
LINK–AAVE,99.94,0.06,0.00121
SOL–NEAR,99.98,0.02,0.00121
BTC–LDO,100.0,0.0,0.00125
NEAR–AAVE,100.0,0.0,0.00451
NEAR–LDO,95.47,4.53,0.00688
BTC–LINK,100.0,0.0,0.00712
NEAR–LINK,99.09,0.91,0.0081
LDO–AAVE,100.0,0.0,0.00879
ETH–LDO,100.0,0.0,0.01591
AVAX–OP,99.94,0.06,0.01732
SOL–AVAX,98.02,1.98,0.02387
ARB–LINK,99.99,0.01,0.03182
BTC–AAVE,99.99,0.01,0.03252
LDO–LINK,99.91,0.09,0.03735
AVAX–AAVE,99.23,0.77,0.06803
AVAX–LDO,99.92,0.08,0.0708
ARB–LDO,98.26,1.74,0.12557
SOL–BTC,100.0,0.0,0.15184
ETH–LINK,99.99,0.01,0.15399
SOL–OP,99.99,0.01,0.15593
ETH–OP,100.0,0.0,0.16126
ETH–BTC,99.77,0.23,0.18467
NEAR–OP,88.97,11.03,0.25985
OP–AAVE,100.0,0.0,0.26467
AVAX–LINK,87.88,12.12,0.28493
BTC–OP,100.0,0.0,0.29515
BTC–ARB,100.0,0.0,0.29917
AVAX–NEAR,99.21,0.79,0.32105
ETH–AVAX,99.99,0.01,0.34048
ETH–AAVE,98.68,1.32,0.34367
BTC–AVAX,100.0,0.0,0.37686
BTC–NEAR,100.0,0.0,0.39352
OP–LDO,79.3,20.7,0.40834
AVAX–ARB,99.98,0.02,0.44872
OP–LINK,99.56,0.44,0.46964
SOL–ETH,99.73,0.27,0.4861
ETH–ARB,100.0,0.0,0.72621
ETH–NEAR,100.0,0.0,0.72937
OP–ARB,88.06,11.94,0.86759
