Pair,λ1 %,λ2 %,ADF p-value
OP–LDO,93.85,6.15,0.00231
LDO–AAVE,100.0,0.0,0.00923
BTC–LDO,100.0,0.0,0.02623
NEAR–LDO,91.03,8.97,0.04718
SOL–LINK,99.84,0.16,0.04822
AVAX–LINK,94.56,5.44,0.06582
SOL–LDO,99.99,0.01,0.07054
BTC–ARB,100.0,0.0,0.08279
ETH–LINK,100.0,0.0,0.0996
BTC–LINK,100.0,0.0,0.1031
BTC–AAVE,100.0,0.0,0.11924
SOL–ARB,100.0,0.0,0.11931
ETH–AVAX,99.99,0.01,0.13556
NEAR–OP,86.46,13.54,0.13877
OP–AAVE,99.99,0.01,0.1454
BTC–OP,100.0,0.0,0.14939
AVAX–LDO,99.68,0.32,0.15384
LINK–AAVE,99.65,0.35,0.16132
AVAX–OP,99.67,0.33,0.17077
SOL–ETH,99.73,0.27,0.17437
SOL–AAVE,83.97,16.03,0.19958
ETH–LDO,100.0,0.0,0.2122
ARB–AAVE,100.0,0.0,0.24474
LDO–LINK,98.26,1.74,0.26146
AVAX–AAVE,98.11,1.89,0.27495
ARB–LINK,99.46,0.54,0.27721
SOL–AVAX,98.82,1.18,0.27851
NEAR–LINK,89.72,10.28,0.31331
NEAR–AAVE,99.93,0.07,0.31503
AVAX–NEAR,97.56,2.44,0.31604
SOL–OP,99.99,0.01,0.31992
ETH–NEAR,100.0,0.0,0.34217
ETH–BTC,99.97,0.03,0.35468
SOL–NEAR,99.93,0.07,0.3569
BTC–NEAR,100.0,0.0,0.36386
ARB–LDO,67.22,32.78,0.36738
ETH–ARB,100.0,0.0,0.36808
BTC–AVAX,100.0,0.0,0.37769
AVAX–ARB,99.89,0.11,0.39092
OP–LINK,97.52,2.48,0.429
NEAR–ARB,95.58,4.42,0.45363
SOL–BTC,100.0,0.0,0.4643
ETH–OP,100.0,0.0,0.53672
OP–ARB,75.63,24.37,0.60008
ETH–AAVE,98.92,1.08,0.65534
