timestamp,close_base_price,close_quote_price,spread,mean_spreads,z_score
2025-07-26 10:33:00,0.45046,297.79,297.33954,,
2025-07-26 10:34:00,0.45045,297.62,297.16955,,
2025-07-26 10:35:00,0.45025,297.78,297.32975,,
2025-07-26 10:36:00,0.45015,297.63,297.17985,,
2025-07-26 10:37:00,0.45105,297.98,297.52895,,
2025-07-26 10:38:00,0.45056,297.92,297.46944,,
2025-07-26 10:39:00,0.45067,297.91,297.45933,,
2025-07-26 10:40:00,0.45066,299.22,298.76934,,
2025-07-26 10:41:00,0.45047,298.95,298.49953,,
2025-07-26 10:42:00,0.45162,299.6,299.14838000000003,,
2025-07-26 10:43:00,0.45135,299.44,298.98865,,
2025-07-26 10:44:00,0.45167,298.96,298.50833,,
2025-07-26 10:45:00,0.45187,298.82,298.36813,,
2025-07-26 10:46:00,0.45058,298.32,297.86942,,
2025-07-26 10:47:00,0.45027,298.32,297.86973,,
2025-07-26 10:48:00,0.44977,298.13,297.68023,,
2025-07-26 10:49:00,0.44917,298.07,297.62083,,
2025-07-26 10:50:00,0.44947,298.29,297.84053,,
2025-07-26 10:51:00,0.44936,298.28,297.83063999999996,,
2025-07-26 10:52:00,0.44957,298.27,297.82043,,
2025-07-26 10:53:00,0.44957,298.29,297.84043,,
2025-07-26 10:54:00,0.44927,298.17,297.72073,,
2025-07-26 10:55:00,0.44924,298.43,297.98076000000003,,
2025-07-26 10:56:00,0.44916,298.45,298.00084,,
2025-07-26 10:57:00,0.44927,298.37,297.92073,,
2025-07-26 10:58:00,0.44897,298.37,297.92103000000003,,
2025-07-26 10:59:00,0.44897,298.24,297.79103000000003,,
2025-07-26 11:00:00,0.44881,298.26,297.81119,,
2025-07-26 11:01:00,0.44881,298.03,297.58119,,
2025-07-26 11:02:00,0.44892,297.97,297.52108000000004,,
2025-07-26 11:03:00,0.44898,297.89,297.44102,,
2025-07-26 11:04:00,0.44979,298.08,297.63021,,
2025-07-26 11:05:00,0.44979,298.33,297.88021,,
2025-07-26 11:06:00,0.45013,298.44,297.98987,,
2025-07-26 11:07:00,0.45032,298.53,298.07968,,
2025-07-26 11:08:00,0.45008,298.39,297.93992,,
2025-07-26 11:09:00,0.45008,298.29,297.83992,,
2025-07-26 11:10:00,0.45014,298.28,297.82986,,
2025-07-26 11:11:00,0.45001,298.44,297.98999,,
2025-07-26 11:12:00,0.45029,298.46,298.00971,,
2025-07-26 11:13:00,0.45038,298.58,298.12962,,
2025-07-26 11:14:00,0.45047,298.65,298.19953,,
2025-07-26 11:15:00,0.45058,298.7,298.24942,,
2025-07-26 11:16:00,0.45058,298.82,298.36942,,
2025-07-26 11:17:00,0.45086,298.84,298.38914,,
2025-07-26 11:18:00,0.45058,298.7,298.24942,,
2025-07-26 11:19:00,0.45024,298.57,298.11976,,
2025-07-26 11:20:00,0.45024,298.53,298.07975999999996,,
2025-07-26 11:21:00,0.45024,298.46,298.00975999999997,,
2025-07-26 11:22:00,0.45024,298.03,297.57975999999996,,
2025-07-26 11:23:00,0.44871,297.89,297.44129,,
2025-07-26 11:24:00,0.44854,297.9,297.45146,,
2025-07-26 11:25:00,0.44866,298.05,297.60134,,
2025-07-26 11:26:00,0.44858,298.13,297.68142,,
2025-07-26 11:27:00,0.44834,298.09,297.64166,,
2025-07-26 11:28:00,0.44813,298.03,297.58187,,
2025-07-26 11:29:00,0.4483,297.96,297.51169999999996,,
2025-07-26 11:30:00,0.44727,297.96,297.51273,,
2025-07-26 11:31:00,0.44725,297.83,297.38275,,
2025-07-26 11:32:00,0.44755,297.96,297.51245,,
2025-07-26 11:33:00,0.44835,298.07,297.62165,,
2025-07-26 11:34:00,0.44834,298.0,297.55166,,
2025-07-26 11:35:00,0.44875,298.25,297.80125,,
2025-07-26 11:36:00,0.44875,298.1,297.65125,,
2025-07-26 11:37:00,0.44837,297.92,297.47163,,
2025-07-26 11:38:00,0.4483,297.8,297.3517,,
2025-07-26 11:39:00,0.4483,297.66,297.2117,,
2025-07-26 11:40:00,0.44742,297.58,297.13257999999996,,
